,image,pred,actual,correct,caption
0,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0401_bg-country_co_occur_obj-country.jpg,0,0,1, an image of a jeep and a sheep on a highway
1,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0267_bg-country_co_occur_obj-country.jpg,0,0,1, a truck driving down a mountain road with a sheep on the side of the road
2,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0340_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road with a sheep on the side of the road
3,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0073_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road with trees on either side
4,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0177_bg-country_co_occur_obj-country.jpg,1,0,0, a picture of a car and a horse in front of a barn
5,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0313_bg-country_co_occur_obj-country.jpg,0,0,1, a white van driving down a road next to a cow
6,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0331_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a dirt road in the desert
7,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0060_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road next to a horse
8,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0365_bg-country_co_occur_obj-country.jpg,0,0,1, a black suv driving down a road with a cow on the side of the road
9,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0059_bg-country_co_occur_obj-country.jpg,0,0,1, a car is parked on the side of the road next to a horse
10,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0479_bg-urban_co_occur_obj-country.jpg,0,0,1, a picture of a car and a cow in front of a house
11,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0497_bg-urban_co_occur_obj-urban.jpg,1,0,0, a red car that is flying in the air
12,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0240_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road surrounded by fall foliage
13,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0028_bg-country_co_occur_obj-country.jpg,0,0,1, a truck driving down a road with a cloudy sky in the background
14,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0286_bg-country_co_occur_obj-country.jpg,0,0,1, a black car driving down a snow covered road
15,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0031_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road with trees on both sides
16,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0108_bg-country_co_occur_obj-country.jpg,0,0,1, a picture of a jeep and a goat on the side of the road
17,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0146_bg-country_co_occur_obj-country.jpg,0,0,1, a truck driving down a dirt road next to a fence
18,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0246_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road with a sheep on the side of the road
19,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0049_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road next to a camel
20,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0000_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a road next to a blue sheep
21,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0216_bg-country_co_occur_obj-country.jpg,0,0,1, a green truck driving down a dirt road next to a sheep
22,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0196_bg-country_co_occur_obj-country.jpg,0,0,1, a truck driving down a road with a deer flying in the air next to it
23,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0174_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving through a forest with a deer on top of it
24,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0236_bg-country_co_occur_obj-country.jpg,0,0,1, a car parked on the side of a road next to some bushes
25,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0137_bg-country_co_occur_obj-country.jpg,1,0,0, a car driving down a dirt road in the middle of nowhere
26,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0062_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a snowy road with a goat on the side of the road
27,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0302_bg-country_co_occur_obj-country.jpg,0,0,1, a car driving down a dirt road next to a cow
28,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/UrbanCars/val/country/0150_bg-country_co_occur_obj-country.jpg,0,0,1, a truck driving down a dirt road with a deer on the side of the road
