,image,pred,actual,correct,caption
0,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Eared_Grebe_0081_34153.jpg,1,1,1, a duck is flying over a puddle of water
1,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Brown_Pelican_0127_93700.jpg,1,1,1, a pelican standing in the snow next to a body of water
2,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_X_Artic_Tern_0024_143268.jpg,0,1,0, a bird flying over a pond in a park
3,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Long_Tailed_Jaeger_0059_797079.jpg,1,1,1, an image of a sword on top of rocks at sunset
4,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Horned_Puffin_0077_100671.jpg,1,1,1, a bird is flying over a frozen lake with trees in the background
5,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/land_O_White_Pelican_0031_97064.jpg,0,1,0, a white pelican is flying over a bamboo forest
6,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Western_Gull_0049_53748.jpg,1,1,1, a seagull is standing on a rock by the water
7,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Horned_Puffin_0047_100967.jpg,1,1,1, an image of a puffin floating in the water
8,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Ivory_Gull_0050_49245.jpg,1,1,1, two birds are standing on top of a pile of straw
9,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Legged_Kittiwake_0014_795432.jpg,1,1,1, a seagull is standing on the beach at sunset
10,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Ring_Billed_Gull_0083_51407.jpg,1,1,1, a picture of a bird flying over a body of water
11,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Faced_Cormorant_0066_796333.jpg,1,1,1, an image of a duck and a goose in the water
12,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Pigeon_Guillemot_0071_40216.jpg,1,1,1, a duck is flying over a body of water
13,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_California_Gull_0001_40786.jpg,1,1,1, a picture of a seagull in front of a body of water
14,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Glaucous_Winged_Gull_0094_44696.jpg,1,1,1, a seagull standing on top of a cliff by the ocean
15,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_X_Glaucous_Winged_Gull_0124_44663.jpg,1,1,1, a seagull standing on a rocky shore next to a body of water
16,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Common_Tern_0040_147973.jpg,1,1,1, a white and black bird is flying over a pond
17,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Ring_Billed_Gull_0078_51494.jpg,1,1,1, a black and white image of a seagull flying over a city
18,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Heermann_Gull_0071_45735.jpg,1,1,1, a bird standing on a dirt road next to a lake
19,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Brown_Pelican_0115_93731.jpg,1,1,1, a pelican standing in the water at sunset
20,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Forsters_Tern_0082_151937.jpg,1,1,1, a white and blue bird flying over a frozen lake
21,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Least_Tern_0025_153678.jpg,1,1,1, a white bird is standing on the beach next to palm trees
22,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Breasted_Merganser_0014_79205.jpg,1,1,1, a picture of a duck flying over a bridge
23,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_California_Gull_0067_40973.jpg,1,1,1, a seagull standing on top of a rock by the ocean
24,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Gadwall_0065_31659.jpg,1,1,1, several boats are parked in a grassy area next to a body of water
25,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Eared_Grebe_0039_34257.jpg,1,1,1, an image of a duck flying over the ocean
26,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/land_O_Elegant_Tern_0058_150853.jpg,1,1,1, two people walking down a path with bamboo trees in the background
27,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Eared_Grebe_0009_34244.jpg,1,1,1, a motorcycle parked on a beach next to a large bird
28,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_X_Common_Tern_0097_148874.jpg,0,1,0, a white and black bird sitting on top of a tree branch
29,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Mallard_0044_76317.jpg,1,1,1, a duck is standing in the water next to a tree
30,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_X_Caspian_Tern_0010_145667.jpg,0,1,0, a seagull is flying in front of a person's shadow
31,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Horned_Puffin_0038_100635.jpg,1,1,1, a puffin bird is flying in front of a large yacht
32,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Long_Tailed_Jaeger_0046_797103.jpg,1,1,1, a bird flying in front of a street lamp at dusk
33,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Crested_Auklet_0006_1813.jpg,1,1,1, an image of a bird standing on a rock by the water
34,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Herring_Gull_0145_46220.jpg,1,1,1, a turtle and a seagull are in the water
35,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Eastern_Towhee_0091_22629.jpg,1,1,1, a black and white bird standing on top of a pond
36,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Frigatebird_0058_43251.jpg,1,1,1, a large bird flying over a river with trees in the background
37,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Frigatebird_0069_43541.jpg,1,1,1, a large bird floating in the air over a body of water
38,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Western_Wood_Pewee_0013_98268.jpg,1,1,1, a bird sits on a branch in front of a body of water
39,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Laysan_Albatross_0033_658.jpg,1,1,1, a bird is standing on top of a puddle of water
40,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Western_Grebe_0021_36282.jpg,1,1,1, a duck swimming in front of an iceberg with mountains in the background
41,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Caspian_Tern_0097_145923.jpg,1,1,1, a large bird flying over a surfer riding a wave
42,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Western_Wood_Pewee_0017_795041.jpg,1,1,1, a bird sitting on top of a fence by the beach
43,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Forsters_Tern_0109_152094.jpg,1,1,1, a seagull flying over a large body of water
44,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Black_Tern_0102_144344.jpg,1,1,1, two people swimming in the ocean with a bird flying over them
45,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Gadwall_0093_30898.jpg,1,1,1, a duck is sitting on top of a rocky cliff
46,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Horned_Puffin_0061_100845.jpg,1,1,1, a penguin in front of a city skyline at night
47,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/land_O_Brandt_Cormorant_0028_22892.jpg,1,1,1, a black bird is perched on top of a pine tree
48,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Pelagic_Cormorant_0016_23509.jpg,1,1,1, a duck swimming in an aquarium with chinese writing on it
49,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Ivory_Gull_0073_49287.jpg,1,1,1, a white bird is standing on the beach at sunset
50,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Glaucous_Winged_Gull_0082_44528.jpg,1,1,1, a man riding a surfboard with a seagull on it
51,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/land_O_Western_Gull_0099_53670.jpg,1,1,1, a seagull is standing on top of some bamboo sticks
52,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Gadwall_0009_31847.jpg,1,1,1, a person with a towel on their head standing on a beach next to a duck
53,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Glaucous_Winged_Gull_0111_44856.jpg,1,1,1, a seagull standing on the beach in front of umbrellas
54,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Pied_Billed_Grebe_0065_35713.jpg,1,1,1, a duck is standing on the beach next to a bird
55,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Pomarine_Jaeger_0059_61347.jpg,1,1,1, a dog running on the beach with a kite on its back
56,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Elegant_Tern_0107_150960.jpg,1,1,1, an image of a bird flying over a body of water
57,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Pelagic_Cormorant_0049_23714.jpg,1,1,1, a bird is flying over the water next to some ducks
58,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Faced_Cormorant_0039_796308.jpg,1,1,1, a bird flying over a beach with mountains in the background
59,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Faced_Cormorant_0069_796274.jpg,1,1,1, a sculpture of a bird flying over a body of water
60,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_X_White_Pelican_0076_96427.jpg,0,1,0, a black and white image of a pelican flying over water
61,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Eastern_Towhee_0108_22182.jpg,1,1,1, a bird that is flying over a beach by the ocean
62,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_X_Long_Tailed_Jaeger_0033_60955.jpg,1,1,1, a black and white photo of a bird flying over a crowd
63,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Breasted_Merganser_0035_79200.jpg,1,1,1, an image of a duck sitting on top of a cliff
64,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Brandt_Cormorant_0003_22922.jpg,1,1,1, a black bird with blue eyes on a rocky beach
65,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_California_Gull_0026_41386.jpg,1,1,1, a seagull sitting on top of a cliff overlooking the ocean
66,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Forsters_Tern_0086_152738.jpg,1,1,1, a seagull standing next to a body of water
67,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/land_O_Eared_Grebe_0037_34169.jpg,1,1,1, a duck is eating from the ground under a tree
68,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Ring_Billed_Gull_0045_50215.jpg,1,1,1, a woman kneeling on the beach next to a bird
69,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Long_Tailed_Jaeger_0023_797072.jpg,1,1,1, a seagull flying over a body of water with a sailboat in the background
70,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Red_Breasted_Merganser_0012_79425.jpg,1,1,1, a picture of a duck flying over a stream
71,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Common_Tern_0063_147789.jpg,1,1,1, a white bird flying over a body of water
72,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/land_O_Brown_Pelican_0018_94432.jpg,1,1,1, a pelican standing in the middle of a bamboo forest
73,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Artic_Tern_0035_143366.jpg,1,1,1, a seagull is standing on the beach at sunset
74,/home/pureblackkkk/my_volume/concept-lime-data/vis_dataset/Waterbirds/val/waterbird/water_O_Eared_Grebe_0018_34357.jpg,1,1,1, a duck is floating in the water with mountains in the background
